timestamp,ax,ay,az,qs,qx,qy,qz,amag
1636030846057180.000000,0.014274,-0.010919,1.021323,-0.007625,0.030261,0.418745,0.907568,0.022950
1636030846066933.000000,0.011773,-0.010858,1.022482,-0.007625,0.030261,0.418745,0.907568,0.019877
1636030846076505.000000,0.007564,-0.010675,1.024922,-0.007625,0.030261,0.418745,0.907568,0.015112
1636030846086081.000000,0.002745,-0.010614,1.026996,-0.007625,0.030261,0.418745,0.907568,0.011302
1636030846095705.000000,-0.000793,-0.010614,1.028155,-0.007625,0.030261,0.418745,0.907568,0.010673
1636030846105428.000000,-0.001830,-0.010431,1.029070,-0.007625,0.030261,0.418745,0.907568,0.010747
1636030846115001.000000,-0.000915,-0.010309,1.029375,-0.007625,0.030261,0.418745,0.907568,0.010390
1636030846124746.000000,0.001647,-0.010065,1.028582,-0.007625,0.030261,0.418745,0.907568,0.010331
1636030846134326.000000,0.004697,-0.009089,1.026874,-0.007625,0.030261,0.418745,0.907568,0.011258
1636030846143891.000000,0.008052,-0.008784,1.025349,-0.007625,0.030261,0.418745,0.907568,0.014382
1636030846153649.000000,0.013359,-0.008967,1.022177,-0.007625,0.030261,0.418745,0.907568,0.020913
1636030846163272.000000,0.018178,-0.009028,1.019188,-0.007625,0.030261,0.418745,0.907568,0.027247
1636030846172871.000000,0.016287,-0.009516,1.019920,-0.007625,0.030261,0.418745,0.907568,0.024922
1636030846182481.000000,0.007320,-0.010065,1.023885,-0.007625,0.030261,0.418745,0.907568,0.014438
1636030846192236.000000,-0.003050,-0.010980,1.028094,-0.007625,0.030261,0.418745,0.907568,0.011797
1636030846201855.000000,-0.010797,-0.012078,1.030778,-0.007625,0.030261,0.418745,0.907568,0.019469
1636030846211461.000000,-0.013237,-0.012444,1.030595,-0.007625,0.030261,0.418745,0.907568,0.022479
1636030846221042.000000,-0.010187,-0.012078,1.029192,-0.007625,0.030261,0.418745,0.907568,0.018800
1636030846230631.000000,-0.003782,-0.011529,1.027545,-0.007625,0.030261,0.418745,0.907568,0.012709
